name;energy;fat;carb;protein;alcohol;iron;salt;vitaminc
Cereal Bar, Wholegrain Muesli Bar;1587;6.9;70.5;6.2;0;1.6;535.3;0
Cereal Bar With Berries;1556;7.0;68.2;6.0;0;1.6;535.1;0.9
Cereal Bar With Chocolate;1707;11.4;67.9;6.7;0;1.9;577.6;0
Cereal Bar With Fibre;1763;18.0;54.6;7.0;0;2.0;109.8;0.5
Cereal Bar With Fruits;1575;6.8;70.1;5.9;0;1.5;536.0;1.1
Cereal Bar With Yoghurt;1741;14.6;61.6;7.4;0;1.6;703.2;1.7
Champignon, Canned;71;0.3;0.2;2.1;0;0.8;1325.0;1.0
Champignon, Fresh;63;0.2;0.3;2.1;0;0.4;8.2;1.3
Champignon, Fried;420;9.6;0.4;2.5;0;0.5;69.0;0.9
Champignon Soup;203;3.8;1.5;1.5;0;0.2;876.2;0.4
Champignon Stew, Low-Fat Milk;626;12.2;5.9;3.1;0;0.2;533.1;0.9
Chapati, Home-Made;930;0.9;44.7;7.0;0;0.6;1529.2;0
Cheese, Feta Type Salad Cheese In Brine, 18% Fat;963;18.0;1.7;14.0;0;0.2;2976.1;0
Cheese, Finnish Oven Cheese, 17-23% Fat;1159;21.0;2.5;18.6;0;0.2;611.5;0
Cheese, Goat Cheese, Chèvre, 30% Fat, Fried;1577;32.7;1.2;20.6;0;1.5;1276.8;0.1
Cheese, Halloumi Cheese, 22% Fat;1192;22.1;2.5;19.5;0;0.5;2548.0;0
Cheese, Hard Cheese, Goat Cheese, 20-25% Fat;1471;32.6;3.6;12.0;0;0.1;1477.8;0
Cheese Fondue;1053;17.0;1.2;17.6;1.4;0.2;863.5;0.4
Cheese Pie, Blue Cheese, Shortcrust Pastry;2037;39.1;23.4;10.6;0;0.6;474.4;0.1
Cheese Pie, Butter Dough;1627;30.5;17.3;11.3;0;0.5;844.5;0.3
Cheese Puffs;2279;33.2;51.0;10.0;0;0.5;1834.6;0.1
Cheese Salad, Sour Cream Dressing;470;8.3;2.1;6.9;0;0.3;678.9;19.6
Cheese Souffle, Low-Fat Milk;845;14.3;5.8;12.6;0;0.8;1480.7;0.5
Cheese Soup, Vegetable Bouillon, Wheat Flour;374;6.9;2.3;4.6;0;0.1;1441.7;0.1
Cheesy Vegetable Soup;156;1.9;2.2;2.1;0;0.4;562.6;11.5
Cheesy Vegetable Soup, Pureed, Industrial;272;4.1;4.9;1.5;0;0.2;733.8;4.0
Cherry With Stone;215;0.2;10.4;0.8;0;0.3;4.6;9.1
Chestnut;815;2.2;36.6;3.4;0;3.6;1.5;30.0
Chewing Gum;1595;0;92.7;0;0;7.4;61.1;0
Chia Seed;1922;33.9;0.2;22.9;0;9.6;40.8;1.6
Chicken And Goat Cheese Pasta, Hk;513;5.1;9.9;8.4;0;0.7;713.5;3.0
Chicken Broth;41;0.8;0.4;0.3;0;0.1;1556.3;0.1
Chicken Burger, Wheat Roll;1101;16.8;20.5;8.9;0;0.6;853.7;0.9
Chicken Fillet, Marinated, Fried In Oil;979;16.9;2.2;18.6;0;0.4;1006.7;0
Chicken Fricassee;523;8.2;1.3;11.7;0;0.7;654.7;0.1
Chicken Fricassee, Hk;382;2.3;9.2;4.3;0;0.3;796.3;0.3
Chicken Gravy With Cooking Cream;883;16.5;2.6;12.2;0;0.3;846.7;0.4
Chicken Hash, Potato, Without Egg;535;5.1;8.2;11.5;0;0.7;1291.0;4.0
Chicken Liver Gravy, Cooking Cream;357;4.6;2.9;7.7;0;3.2;1055.7;6.5
Chicken Marinated, Without Skin;658;8.8;0.1;19.4;0;0.7;1278.2;0
Chicken Meat Ball, Fried;773;9.5;7.7;16.4;0;0.8;1035.8;0.7
Chicken Meatloaf;778;11.8;4.4;14.7;0;0.8;1663.3;17.0
Chicken Mince, Fried;988;15.8;0.1;23.8;0;0.8;1485.6;0.1
Chicken Mince Gravy;342;3.7;2.0;10.0;0;0.4;557.5;0.5
Chicken Noodle Wok, Wok-Vegetables;614;6.6;11.7;9.3;0;1.2;619.9;17.2
Chicken Pasta, Saarioinen;553;7.4;10.7;5.3;0;0.5;820.4;0.6
Chicken Salad, Without Dressing;292;2.9;2.4;8.0;0;0.5;424.8;30.8
Chicken Schnitzel, Breaded, Cheese Filling, Fried;985;10.8;11.0;23.1;0;0.6;948.0;0.1
Chicken Soup;183;0.9;3.4;5.0;0;0.3;483.5;2.5
Chicken Soup With Celeriac And Leek;399;6.1;0.9;9.2;0;0.6;488.8;0.6
Chicken Stew, Chicken Burgundy;479;5.5;1.9;12.0;0.5;0.6;1396.9;2.1
Chicken Stew With Tomato;212;1.6;2.4;5.9;0;0.3;769.2;19.9
Chicken Strips, Fried, Without Salt;797;10.1;0.1;25.0;0;0.8;186.3;0.1
Chicken Stroganoff;329;2.9;3.8;8.8;0;0.4;541.0;23.6
Chicken Tikka Masala With Jasmine Rice, Kitchen Joy;489;3.1;15.3;6.3;0;0.3;1029.1;0.4
Chicken Wing, Marinated, Raw;795;14.1;1.1;15.1;0;0.8;1146.3;0.6
Chick Pea, Dried;1436;5.4;46.4;21.3;0;5.5;99.4;0
Chick Pea Patty, Falafel, Fried;559;4.6;14.4;6.5;0;2.2;1725.5;4.2
Chili, Green, Raw;189;0.2;8.0;2.0;0;1.2;17.8;242.5
Chili Con Carne;680;10.7;6.1;9.2;0;1.1;1035.5;4.9
Chinese Cabbage;61;0.1;1.6;1.2;0;0.3;28.0;15.5
Chinese Meat Vegetable Gravy, Sweet-And-Sour;627;9.4;3.7;11.9;0.1;1.0;1018.5;8.8
Chinese Vegetable Gravy, Sweet And Sour;379;6.5;5.8;1.0;0.2;0.7;2051.1;15.5
Chocolate, Artificially Sweetened;1952;36.6;1.7;2.3;0;0.1;18.4;0.9
Chocolate, Milk Chocolate;2253;33.0;49.8;10.1;0;2.0;298.1;0
Chocolate, Milk Chocolate With Hazelnuts;2354;39.4;39.1;11.0;0;2.4;230.1;0
Chocolate, Plain, Dark Chocolate;2178;31.0;53.3;4.9;0;3.5;25.5;0
Chocolate, Plain, Dark Chocolate, 80%;2326;40.9;35.0;7.8;0;5.5;56.1;0
Chocolate, White Chocolate;2332;35.0;53.0;7.6;0;0.2;254.8;0
Chocolate Bar, Caramel And Cookie, Twix;2029;24.3;63.1;2.7;0;0.7;504.5;0.1
Chocolate Bar, Low-Fat;1770;13.0;55.1;5.5;0;2.9;169.2;0.2
Chocolate Chip Cookie;1935;21.1;62.8;4.3;0;0.9;1278.1;0.2
Chocolate Chip Cookie;1971;23.0;62.4;2.8;0;1.0;1105.2;0
Chocolate Confection Filled With Chocolate;1787;20.6;53.6;5.8;0;0.9;183.9;0
Chocolate Confection Filled With Marmalade;1359;11.4;53.3;3.3;0;1.9;299.9;0
Chocolate Digestive Biscuit;2133;25.0;63.3;6.5;0;0.9;122.1;0.1
Chocolate Milk, Cold, Valio Play, Lactose-Free;258;1.0;9.5;3.2;0;0.1;100.8;1.1
Chocolate Nut Spread;2468;41.4;48.3;6.2;0;2.2;127.4;0
Chocolate Raisin;1654;14.2;55.8;5.5;0;2.2;133.3;0.3
Chocolate Sandwich Cookie;1941;22.6;59.2;4.7;0;1.0;1182.2;0.6
Chocolate Sauce;782;0.8;42.9;0.7;0;0.5;7.6;0
Chocolate Soup, Low-Fat Milk;390;2.0;14.9;3.2;0;0.4;99.2;1.0
Chocolate Soup, Without Sugar;332;2.3;10.2;3.8;0;0.4;115.8;1.2
Chocolate Swiss Roll Cake;1153;6.4;44.8;8.0;0;1.8;582.7;0
Chokeberry;235;0.6;5.8;0.4;0;0.2;2.8;6.2
Chokeberry, Dried, Chokeberry Powder;1013;2.4;16.3;5.1;0;6.1;6.4;0.2
Chopped Mushroom And Onion;103;0.4;2.8;1.5;0;2.3;2005.6;3.6
Chorizo, Fried Without Fat;1239;22.9;1.4;21.4;0;1.7;3330.6;4.5
Christmas Star Pastry;1682;25.1;38.5;4.4;0;0.6;660.0;0
Cider, 0.7% Volume;181;0;9.0;0.3;0.6;0.1;0;0
Cider, Dry, 5.5% Volume;176;0;2.6;0;4.3;0.5;17.8;0
Cider, Dry 4.7% Volume;148;0;2.0;0;3.7;0.5;17.8;0
Cider, Light, 4.7% Volume;118;0;0.2;0;3.7;0.5;17.8;0
Cider, Sweet, 3% Volume;146;0;3.6;0.3;2.5;0.1;0;0
Cider, Sweet, 4.7% Volume;213;0;5.5;0.3;3.7;0.5;17.8;0
Cloudberry;231;1.1;6.8;1.5;0;0.7;5.1;61.6
Cocoa, Hot Chocolate, Whole Milk, Sweetened;355;4.2;8.1;3.6;0;0.2;134.7;1.1
Cocoa Powder, Unsweetened;1548;21.7;11.0;18.5;0;11.0;147.8;0
Cocoa Powder With Sugar;1672;6.5;77.4;6.4;0;4.4;254.8;0
Coconut Drink, Added Vitamins;90;1.1;2.6;0.3;0;0.2;129.0;0.1
Coconut Flake;2765;64.5;6.4;8.1;0;3.0;94.3;0
Coconut Milk;875;21.3;2.8;2.0;0;3.3;33.1;1.0
Coconut Water, Unsweetened;70;0;3.9;0.2;0;0.1;66.2;9.9
Coffee Beverage, Iced Coffee, 1.8% Fat, Lactose-Free;262;1.8;8.4;2.9;0;0.1;84.0;0.8
Cold Cucumber Soup;174;2.9;2.2;1.4;0;0.1;808.7;4.6
Cold Tomato Soup, Gazpacho;386;7.9;3.7;0.7;0;0.3;684.8;32.2
Cold Tuna Sauce, Sour Cream;505;7.2;4.2;9.1;0;0.7;671.1;41.3
Cooking Cream, 15% Fat;684;15.0;2.7;2.7;0;0.1;458.6;0.9
Cooking Cream, 19% Fat;859;19.0;4.0;2.4;0;0.1;68.8;0.8
Cooking Cream, Vegetable Fat, 15% Fat;634;15.0;2.5;2.1;0;0.1;249.7;0.4
Cooking Cream, Vegetable Fat, 7 % Fat;344;7.0;3.6;1.3;0;0.1;92.2;0.5
Coriander, Fresh;87;0.4;0.5;2.4;0;1.8;117.2;10.1
Corn Salad, Lamb'S Lettuce;63;0.3;0.3;1.9;0;1.8;7.6;4.9
Corn Tortilla;1293;9.3;51.8;3.5;0;0.6;234.1;0.1
Cottage Cheese, 1.5% Fat;374;1.5;2.4;16.4;0;0.1;764.4;0
Cottage Cheese, 2-5% Fat;385;2.0;2.5;15.8;0;0.1;764.4;0
Cottage Cheese, 2-5% Fat, Lactose-Free;385;2.0;2.5;15.8;0;0.1;764.4;0
Cottage Cheese, 2-5% Fat, Low-Lactose;385;2.0;2.5;15.8;0;0.1;764.4;0
Cottage Cheese, Fat-Free, Low-Lactose;347;0.2;2.0;18.0;0;0.1;764.4;0
Couscous;1357;1.1;63.6;11.5;0;1.2;7.6;0
Cranberry;134;0.1;4.6;0.4;0;0.1;1.0;20.1
Cranberry, Dried, Cranberry Powder;1123;5.4;20.6;6.0;0;7.1;6.4;14.3
Cranberry Kissel, Cranberry Soup;303;0.1;17.1;0.1;0;0.1;2.3;2.7
Cranberry-Lingonberryjuice, Unsweetened;147;0.4;6.7;0.5;0;0.3;3.1;15.4
Crashed Rye Grain E And Rice Mix, Boiled, Salt;582;0.6;29.4;3.4;0;0.7;991.7;0
Cream, Low-Fat, 1o% Fat, Low-Lactose;502;10.0;4.5;3.1;0;0.1;68.8;0.9
Cream, Low-Fat, 25% Fat;1057;27.0;3.0;1.3;0;0.1;89.2;0.5
Cream, Valio Strawberry/Chocolate, Lactose-Free;1532;37.0;7.8;1.8;0;0.1;101.3;0.7
Cream Cheese, 30% Fat, Flavoured, Low-Lactose;1313;31.0;3.1;4.8;0;0.1;764.4;1.8
Cream Cheese, 36-44% Fat, Kasakka/Musta-Pekka;1453;30.0;7.2;12.0;0;0.1;1019.2;0
Cream Cheese, 6-11% Fat, Flavoured;631;11.0;4.7;8.0;0;0.1;1274.0;2.2
Cream Cracker;1799;21.3;56.5;2.6;0;0.6;636.1;0
Cream Cracker, Water Biscuit;1780;11.2;68.3;10.4;0;1.1;1404.0;0
Cream Cracker With Rye Flour, Kantolan;1661;12.8;57.7;9.4;0;1.6;581.9;0
Cream Liqueur, 15-17% Volume;1250;14.8;20.9;0;12.0;0.1;208.0;0
Cream Quark, 10% Fat;564;10.0;3.0;7.8;0;0.1;206.4;0.9
Cream Quark, 4.3% Fat;401;4.3;3.0;10.5;0;0.1;265.5;0.9
Cream Sauce With Meat Bouillon;575;11.8;6.8;1.3;0;0.1;1600.5;0.1
Creamy Brussels Sprout Soup;173;2.6;2.0;1.6;0;0.2;1310.4;20.5
Creamy Cauliflower Soup, Puréed;237;4.0;2.6;1.6;0;0.3;1170.4;15.0
Creamy Chicken Vegetable Soup;232;3.0;1.7;4.7;0;0.4;921.8;8.5
Creamy False Morel Soup;488;10.0;3.3;1.5;0.2;0.2;1055.7;0.2
Creamy Jerusalem Artichoke Soup;269;3.7;2.7;1.4;0;0.1;1094.7;1.4
Creamy Oyster Soup;811;17.8;2.1;3.1;0.9;0.9;166.8;1.0
Creamy Salmon Gravy;441;7.0;2.7;7.4;0;0.4;1022.5;2.8
Creamy Shrimp Gravy;581;11.1;2.6;6.5;0;1.5;761.5;2.5
Creamy Shrimp Soup, Thickened;253;3.4;1.3;6.2;0;1.2;711.6;0.1
Creamy Shrimp Stew, Thickened;633;10.4;6.2;8.1;0;1.9;971.0;3.5
Creamy Tuna Gravy;597;8.4;3.6;12.6;0;0.9;876.4;7.8
Crème Brûlée;1661;34.0;19.5;4.1;0;0.9;80.8;0.6
Creme Fraiche, 15-18% Fat;737;17.0;3.1;1.9;0;0.1;153.9;0.2
Creme Fraiche, 28% Fat;1160;28.0;3.0;2.0;0;0.1;254.8;0.3
Crepes Filled With Vegetables, Low-Fat Milk;647;6.5;16.9;6.1;0;0.7;430.5;6.7
Crispbread, Rye, 17% Fibre;1507;2.3;64.3;11.2;0;4.1;1044.4;0
Crispbread, Seed Crispbread, Industrial;2228;40.8;18.1;18.0;0;6.5;1130.7;0.2
Crispbread, Seed Crispbread With Egg, Home-Made;1771;32.4;11.3;19.1;0;5.0;1401.3;0.1
Crispbread, Wasa Oat, Oat And Wheat Flour, Oat Flakes;1501;5.2;64.1;11.9;0;3.5;1240.3;0
Croissant, Home-Made;1452;21.9;33.0;4.0;0;1.9;994.4;0.4
Crumbed Ham, 3% Fat;435;3.1;1.4;17.5;0;0.7;1974.7;0
Cucumber;47;0.1;1.4;0.7;0;0.2;6.1;8.0
Cucumber, Pickled Cucumber, Without Added Sugar;48;0.1;1.3;0.7;0;0.5;1780.7;6.0
Curd Milk, Flavoured, 2% Fat, 1 Ug Vitamin D;292;2.2;9.9;2.5;0;0.1;112.3;1.1
Curd Milk, Flavoured With Jam, 1% Fat, Low-Lactose;273;0.8;11.4;2.5;0;0.1;100.9;1.2
Curd Milk, Plain, 1.5% Fat, Lactose-Free;167;1.5;3.1;3.3;0;0.1;111.1;1.1
Curd Milk, Plain, 1% Fat;153;1.0;3.6;3.1;0;0.1;104.5;1.0
Curd Milk, Plain, 3.5% Fat;262;3.5;3.5;3.0;0;0.1;119.8;1.0
Curd Milk, Plain, Fat-Free;157;0.5;4.7;3.3;0;0.1;110.2;1.2
Curry Chicken Gravy, Ready Made Sauce;472;5.1;4.8;11.6;0;0.4;953.5;7.6
Curry Sauce, Uncle Ben'S;259;2.3;9.1;0.7;0;0.1;1658.1;14.3
Dandelion, Bud;202;1.2;1.9;3.5;0;1.1;2.3;23.3
Dandelion, Leaf;159;0.2;2.2;3.1;0;1.3;3.1;40.8
Danish Pastry, Jam Filling, Water, Bakery;1517;20.6;37.9;5.7;0;0.5;500.1;0.2
Danish Pastry, Low-Fat Milk, 20% Fat;1519;20.0;37.7;7.2;0;0.6;449.3;0.2
Danish Pastry, Vanilla Custard, Whole Milk;1410;18.8;33.9;7.2;0;0.6;471.0;0.4
Date, Dried, With Stone;811;0.7;38.2;3.0;0;1.5;20.8;4.3
Date Cake;1458;17.4;41.4;5.0;0;0.8;396.7;0.9
Deep Fried Meat Pastie, Portti;1256;15.8;31.8;7.0;0;0.6;594.7;0.1
Deep-Fried Meat Pasty, Atria;1190;12.6;32.7;9.0;0;1.1;1013.3;0
Deep-Fried Meat Pasty, Includes Soya Flour;1499;23.6;26.2;9.9;0;1.1;1235.4;0.1
Deep-Fried Meat Pasty With Sausage;1148;15.2;22.1;10.0;0;1.0;1432.5;0.1
Deep-Fried Vegetable Pasty, Hoviruoka;1242;13.9;33.2;8.4;0;0.6;805.7;1.9
Digestive Biscuit;1777;15.4;68.9;1.9;0;0.3;768.1;0.3
Digestive Biscuit, Industrial;1766;15.8;61.6;6.8;0;0.8;1529.0;0
Digestive Biscuit, Oat And Graham Flour;1998;22.6;59.6;7.0;0;1.7;103.1;0.1
Dipmix, Milk-Free;1367;0.1;76.9;1.1;0;0.7;4984.4;4.0
Dipmix With Milk Extracts;1290;3.0;54.6;7.1;0;1.6;5099.6;17.7
Double Hamburger;1149;18.6;13.2;15.0;0;2.1;1049.4;0.5
Dough, Unsweetened;2123;38.3;33.2;7.7;0;0.8;728.1;0
Doughnut, Bakery;1279;12.0;42.2;6.1;0;0.6;521.9;0
Doughnut, Contains Wheat Starch;1375;13.5;49.5;2.0;0;0.3;538.7;0
Doughnut, Lemon Coated;1690;16.1;60.0;3.8;0;0.4;885.5;0.7
Doughnut, Low-Fat Milk, Home-Made;1310;9.9;47.3;7.4;0;0.6;403.7;0.3
Doughnut With Jam, Bakery;1212;9.6;44.5;5.0;0;0.5;418.1;2.4
Dried Pineapple Coated With Yoghurt;1749;17.0;55.3;8.3;0;0.9;576.5;28.2
Dry Martini;882;0;2.9;0.1;28.7;0.2;2.5;0
Duchess Potatoes;518;5.0;16.0;2.6;0;0.9;569.3;6.7
Egg, Boiled;561;9.2;0.3;12.6;0;1.7;281.4;0
Egg, Fried;812;15.9;0.3;12.9;0;1.8;1152.5;0.1
Egg, Fried, Without Fat And Salt;624;10.3;0.3;14.0;0;1.9;312.6;0
Egg, Organic, Boiled;700;11.7;0.4;15.3;0;2.0;334.9;0
Egg, Organic, Fried;935;18.4;0.4;14.6;0;2.0;1283.6;0.1
Egg, Quail, Raw;568;9.2;0.4;12.9;0;1.7;0;0
Egg, Whole, With Shell;494;8.1;0.3;11.1;0;1.5;247.6;0
Egg, Without Shell, Organic;588;9.8;0.3;12.8;0;1.7;281.4;0
Egg And Ham Casserole;443;6.0;3.5;9.6;0;0.8;1332.7;0.6
Egg And Rice Pasty, Butter Dough;1370;24.0;22.4;5.4;0;0.6;803.5;0.7
Egg Gruel With Milk;300;2.4;7.9;4.4;0;0.2;734.9;1.0
Eggnog;351;2.6;4.5;4.2;3.7;0.3;120.4;0.8
Egg Powder, For Food Industry;2245;37.0;1.2;50.4;0;6.8;1125.4;0
Egg Yolk, Fried;1620;36.2;0.2;16.3;0;5.4;985.3;0.1
Egg Yolk, Fried, Without Fat And Salt;1504;32.4;0.2;17.7;0;5.9;150.0;0
Egg Yolk Powder, For Food Industry;2880;62.1;0.4;33.9;0;11.3;287.3;0
Elk Meat Gravy, Brown Gravy;376;3.4;3.0;11.6;0;1.9;737.9;0.4
Elk Meat Gravy, With Cooking Cream;704;10.2;1.5;16.7;0;2.7;837.1;1.1
Elk Stew With Carrot, Onion And Champignon;406;2.9;1.4;14.7;0.3;2.6;898.9;1.5
Elovena Muru, Broad Bean Product;984;3.9;26.3;20.1;0;3.0;918.6;0.8
Energy Drink, Energy Water;75;0;4.4;0;0;0.1;2.5;0
Energy Drink With Added Vitamins;206;0;11.7;0.4;0;0.1;2.4;0
Espresso Coffee Drink;16;0.1;0.3;0.3;0;0.1;0.5;0
Exotic Fruit Average, Mango, Papaya, Dried;1265;0.9;67.0;2.8;0;0.5;33.1;49.0
False Morel;91;0.7;0.5;1.8;0;0.8;5.1;0.2
False Morel, Boiled;118;0.9;0.6;2.4;0;1.1;6.9;0.2
Farmer'S Cheese Salad, Oil-Based Dressing;481;8.7;3.4;5.0;0;0.3;562.1;9.7
Fat Powder, For Food Industry;3050;70.0;26.9;0.1;0;0.1;21.2;0
Feta And Spinach Pie, Shortcrust Pastry;1135;17.0;20.5;8.4;0;0.8;751.5;7.6
Feta Cheese And Vegetables, Pan-Fried;425;8.0;3.1;3.5;0;0.7;1143.8;38.9
Feta Cheese Spinach Gravy, Cooking Cream;674;13.8;2.2;5.8;0;0.8;1029.3;18.1
Feta Vegetable Patty, Fried;639;9.5;8.0;7.5;0;1.4;980.1;5.9
Fig, Dried;1069;0.9;53.2;3.3;0;2.0;25.5;1.2
Fig, Dried, With Stem;1037;0.9;51.6;3.2;0;2.0;24.7;1.2
Filtered Coffee Drink;11;0.1;0.3;0.3;0;0.1;0.5;0
Finn Crisp, Oat Crispbread, Oululainen, Fazer;1711;8.1;63.1;13.0;0;3.2;1402.7;0
Finn Crisp, Rye Crispbread;1456;2.8;56.3;12.5;0;5.5;1406.7;0
Fish, Breaded, Oven-Baked;622;5.9;2.2;21.6;0;0.7;1070.0;0.1
Fish, Cooking Cream (19% Fat), Oven-Baked;610;7.7;1.2;17.1;0;0.6;788.4;2.6
Fish, Fillet, Salt-Cured;420;2.7;1.4;17.5;0;0.5;2691.4;0
Fish, Oven-Baked;594;6.0;0.1;21.9;0;0.7;1101.7;0.1
Fish And Mashed Potato, Hk;365;3.4;6.2;7.5;0;0.3;699.0;3.1
Fish And Potato Casserole, Low-Fat Milk;373;2.3;8.7;7.8;0;0.6;665.4;3.1
Fish And Rice Casserole, Cream;792;8.9;13.5;12.5;0;0.6;980.2;0.7
Fish And Rice Pie, Shortcrust Pastry;1185;15.4;24.4;11.2;0;0.7;615.1;0.3
Fish And Vegetable Stew;246;3.0;1.4;6.0;0;0.7;77.3;12.0
Fish Ball, Boiled;567;3.6;6.6;18.7;0;0.8;1015.9;0
Fish Ball, Fried;694;6.9;6.7;18.9;0;0.8;1051.2;0.1
Fish Ball, Industrial;927;11.5;12.5;14.5;0;1.4;1177.4;8.4
Fish Burger;1282;20.6;18.9;12.8;0;0.4;1062.5;0.1
Fish Fingers, Fried, Industrial;1017;14.2;16.0;12.5;0;0.3;741.5;0.1
Fish Fingers, Salmon, Findus, Oven-Baked;974;10.1;20.4;14.4;0;0.5;856.7;0
Fish Fingers, Salmon, Frozen;822;9.2;13.6;14.2;0;0.5;887.8;0
Fish Loaf, Cream;602;8.1;3.6;13.4;0;0.6;885.1;0.9
Fish Loaf, Milk;605;6.3;6.1;15.8;0;0.7;1173.5;0.2
Fish Loaf, No Milk;556;6.0;4.2;15.3;0;0.7;1166.9;0.1
Fish Paste;359;0.7;0.9;18.4;0;0.8;643.3;1.4
Fish Pasty, Smoked Salmon Pasty;1219;20.0;20.6;7.2;0;0.5;1029.1;0.3
Fish Pasty, Tuna Pasty;1159;18.4;20.4;7.2;0;0.6;907.7;0.3
Fish Pie, Butter Dough;1385;25.7;12.8;12.5;0;1.0;977.6;1.9
Fish Potato Stew;255;1.0;5.4;7.0;0;0.5;677.6;4.3
Fish Root Vegetable Stew, Imported White Fish;242;1.0;5.7;5.6;0;0.4;604.5;4.4
Fish Shrimp Casserole, Saithe, Vegetables, Tomato;329;3.9;2.3;7.6;0;0.6;676.7;9.6
Fish Soup, Clear;206;1.5;3.6;4.9;0;0.3;487.4;1.7
Fish Soup With Coconut Milk;281;3.3;2.7;6.5;0;0.9;352.3;2.1
Fish Soup With Potato And Root Vegetables;172;0.7;3.4;4.8;0;0.3;472.6;2.3
Fish Stew, Fat-Free Milk;528;5.9;3.7;14.2;0;0.5;1013.3;3.2
Fish Stew, Low-Fat Milk;545;6.4;3.7;14.2;0;0.5;1010.6;3.1
Fish Stock Cube;1293;14.0;35.0;10.0;0;0.5;40768.0;0.8
Fish Vegetable Soup, Imported White Fish;233;3.1;0.9;5.8;0;0.4;729.1;9.2
Flatbread Roll With Reindeer;643;6.0;13.7;10.0;0;2.2;2202.4;1.4
Florence Fennel;72;0.2;1.8;0.9;0;0.3;28.0;5.0
Florence Fennel, Fried;424;9.4;2.1;1.1;0;0.4;90.9;3.5
Florence Fennel Soup, Puréed;191;3.5;1.7;0.9;0;0.3;523.5;3.6
Flounder, Breaded, Fried;806;6.5;20.6;12.4;0;0.4;1665.8;0.1
Flounder, Breaded, Oven-Baked;655;1.7;21.7;13.0;0;0.4;1720.3;0
Flounder, Fried;479;5.2;0.1;16.9;0;0.3;869.4;0.1
Flounder, Stewed, Butter;318;3.6;0.2;10.5;0;0.2;1343.8;0.3
Flour, Oat Flour;1634;7.1;63.9;12.6;0;5.5;2.5;0
Flour Mixture, Rye, Wheat;1354;1.7;66.7;10.6;0;2.1;2.5;0
Forest Lamb Mushroom, Sheep Polypore;100;1.0;0.9;1.2;0;0.1;3.1;
Frankfurter, Grilled;1049;19.6;1.2;12.2;0;0.8;2150.7;0
Frankfurter Soup;262;3.4;4.0;2.7;0;0.4;669.7;4.1
Frankfurter Soup, Light Frankfurters;204;1.7;4.7;2.8;0;0.3;637.8;4.1
Frankfurter Stroganoff;621;11.5;3.2;5.5;0;0.4;1718.1;1.4
Frankfurter-Vegetable Casserole;512;8.1;3.0;7.7;0;0.8;1256.7;9.4
French Fries, Deep-Fried;1322;15.8;38.6;3.9;0;0.6;988.3;2.2
French Fries, Frozen;1034;6.3;42.0;4.2;0;0.6;2.4;4.0
French Fries, Oven-Baked;1089;6.6;44.2;4.5;0;0.7;2.5;3.0
French Toast With Low-Fat Milk;1052;13.5;25.2;6.7;0;0.5;171.1;0.7
Fresh Pasta, Contains Egg;1139;2.3;54.0;9.1;0;0.7;1298.3;0
Fresh Pasta, Contains Egg, Boiled Without Salt;342;0.7;16.2;2.7;0;0.2;391.3;0
Fried Shrimp With Noodles And Coconut;783;7.5;24.3;4.8;0;2.2;882.2;40.0
Frozen Vegetable Mix, Pea-Sweet Corn-Carrot;338;0.8;13.5;3.0;0;1.0;25.3;12.9
Frozen Vegetable Mix, Pea-Sweet Corn-Sweet Pepper;345;0.8;13.1;3.1;0;1.0;7.2;41.0
Frozen Vegetable Mix, Root Vegetables;156;0.2;6.0;0.9;0;0.4;57.4;15.4
Fruit, Deep-Fried;759;10.8;17.0;3.2;0;0.6;469.4;5.3
Fruit Cake;1683;21.1;45.6;5.9;0;0.9;276.8;0.7
Fruit Cocktail, In Syrup;367;0.4;19.2;0.8;0;0.4;10.4;18.0
Fruit Drink, Mehukatti Fruit Snack, Pear;210;0.2;10.2;0.3;0;0.3;4.8;6.7
Fruit Drink, Mehukatti Fruit Snack, Strawberry;212;0.2;10.0;0.4;0;0.4;5.5;6.7
Fruit Drink, Proviva, Mango, Contains Probiotics;194;0.1;10.7;0.3;0;0.1;2.9;35.0
Fruit Jelly;346;0.2;18.6;0.5;0;0.4;7.1;16.1
Fruit Juice, Five Fruits, Unsweetened, Vitamin C;197;0.1;10.3;0.6;0;0.4;4.3;31.0
Fruit Nectar, Berry Nectar, Sweetened, 50% Fruit;206;0.1;11.4;0.3;0;0.1;6.9;13.0
Fruit Pastille With Gum Arabic;1086;0.2;60.6;0;0;0.1;254.8;0
Fruit Puree Average, Industrial Babyfood;279;0.1;14.3;0.6;0;0.3;21.5;28.8
Fruit Salad, Orange, Banana, Apple, Grape;213;0.2;10.7;0.5;0;0.3;5.8;21.3
Fruit Salad, Orange, Banana, Apple, Peach;237;0.2;12.2;0.5;0;0.3;5.5;16.8
Fruit Smoothie, Fruit Shake, Yoghurt, Ice Cream;376;2.9;12.4;2.6;0;0.2;102.9;6.3
Fruity Chicken Gravy;316;2.8;3.9;8.2;0;0.5;501.0;22.2
Funnel Chanterelle;101;0.8;0.4;2.2;0;0.8;11.4;0.2
Funnel Chanterelle, Boiled;133;1.1;0.6;2.9;0;1.1;15.0;0.2
Funnel Chanterelle, Fried;371;7.7;0.5;2.6;0;1.0;652.4;0.2
Funnel Chanterelle, Steamed;163;2.0;1.3;1.8;0;0.5;7.4;0.2
